record_date,account_type,transaction_type,transaction_catg,transaction_catg_desc,transaction_today_amt,transaction_mtd_amt,transaction_fytd_amt,table_nbr,table_nm,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2024-07-01,Treasury General Account (TGA),Deposits,Dept of Agriculture (USDA) - misc,null,8,8,2810,II,Deposits and Withdrawals of Operating Cash,1,2024,4,2024,3,07,01
2024-07-01,Treasury General Account (TGA),Deposits,USDA - Commodity Credit Corporation,null,24,24,5615,II,Deposits and Withdrawals of Operating Cash,2,2024,4,2024,3,07,01
2024-07-01,Treasury General Account (TGA),Deposits,USDA - Federal Crop Insurance Corp Fund,null,0,0,3121,II,Deposits and Withdrawals of Operating Cash,3,2024,4,2024,3,07,01
2024-07-01,Treasury General Account (TGA),Deposits,USDA - Loan Repayments,null,526,526,7181,II,Deposits and Withdrawals of Operating Cash,4,2024,4,2024,3,07,01
2024-07-01,Treasury General Account (TGA),Deposits,Dept of Commerce (DOC),null,22,22,3760,II,Deposits and Withdrawals of Operating Cash,5,2024,4,2024,3,07,01
2024-07-01,Treasury General Account (TGA),Deposits,Dept of Defense (DoD),null,116,116,12061,II,Deposits and Withdrawals of Operating Cash,6,2024,4,2024,3,07,01
2024-07-01,Treasury General Account (TGA),Deposits,Dept of Education (ED),null,238,238,47916,II,Deposits and Withdrawals of Operating Cash,7,2024,4,2024,3,07,01
2024-07-01,Treasury General Account (TGA),Deposits,Dept of Energy (DOE),null,29,29,6325,II,Deposits and Withdrawals of Operating Cash,8,2024,4,2024,3,07,01
2024-07-01,Treasury General Account (TGA),Deposits,Dept of Health & Human Serv (HHS) - misc,null,14,14,4827,II,Deposits and Withdrawals of Operating Cash,9,2024,4,2024,3,07,01
2024-07-01,Treasury General Account (TGA),Deposits,HHS - Marketplace Receipts,null,1,1,422,II,Deposits and Withdrawals of Operating Cash,10,2024,4,2024,3,07,01
