record_date,transaction_type,security_market,security_type,security_type_desc,transaction_today_amt,transaction_mtd_amt,transaction_fytd_amt,table_nbr,table_nm,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2024-07-01,Issues,Marketable,Bills,Regular Series,-7,-7,15108606,IIIA,Public Debt Transactions,1,2024,4,2024,3,07,01
2024-07-01,Issues,Marketable,Bills,Cash Management Series,0,0,2780035,IIIA,Public Debt Transactions,2,2024,4,2024,3,07,01
2024-07-01,Issues,Marketable,Notes,null,189364,189364,2919114,IIIA,Public Debt Transactions,3,2024,4,2024,3,07,01
2024-07-01,Issues,Marketable,Bonds,null,13453,13453,359170,IIIA,Public Debt Transactions,4,2024,4,2024,3,07,01
2024-07-01,Issues,Marketable,Inflation-Protected Securities Increment,null,797,797,51693,IIIA,Public Debt Transactions,5,2024,4,2024,3,07,01
2024-07-01,Issues,Marketable,Federal Financing Bank,null,0,0,0,IIIA,Public Debt Transactions,6,2024,4,2024,3,07,01
2024-07-01,Issues,Nonmarketable,United States Savings Securities,Cash Issue Price,9,9,3241,IIIA,Public Debt Transactions,7,2024,4,2024,3,07,01
2024-07-01,Issues,Nonmarketable,United States Savings Securities,Interest Increment,293,293,5630,IIIA,Public Debt Transactions,8,2024,4,2024,3,07,01
2024-07-01,Issues,Nonmarketable,Government Account Series,null,612895,612895,111755067,IIIA,Public Debt Transactions,9,2024,4,2024,3,07,01
2024-07-01,Issues,Nonmarketable,Domestic Series,null,2,2,237,IIIA,Public Debt Transactions,10,2024,4,2024,3,07,01
2024-07-01,Issues,Nonmarketable,Foreign Series,null,0,0,0,IIIA,Public Debt Transactions,11,2024,4,2024,3,07,01
2024-07-01,Issues,Nonmarketable,State and Local Series,null,318,318,89864,IIIA,Public Debt Transactions,12,2024,4,2024,3,07,01
2024-07-01,Issues,Nonmarketable,Other,null,1587,1587,456522,IIIA,Public Debt Transactions,13,2024,4,2024,3,07,01
2024-07-01,Redemptions,Marketable,Bills,null,0,0,17383225,IIIA,Public Debt Transactions,15,2024,4,2024,3,07,01
2024-07-01,Redemptions,Marketable,Notes,null,124262,124262,2456131,IIIA,Public Debt Transactions,16,2024,4,2024,3,07,01
2024-07-01,Redemptions,Marketable,Bonds,null,0,0,2628,IIIA,Public Debt Transactions,17,2024,4,2024,3,07,01
2024-07-01,Redemptions,Marketable,Federal Financing Bank,null,0,0,978,IIIA,Public Debt Transactions,18,2024,4,2024,3,07,01
2024-07-01,Redemptions,Nonmarketable,United States Savings Securities,null,92,92,20453,IIIA,Public Debt Transactions,19,2024,4,2024,3,07,01
2024-07-01,Redemptions,Nonmarketable,Government Account Series,null,677039,677039,111436707,IIIA,Public Debt Transactions,20,2024,4,2024,3,07,01
2024-07-01,Redemptions,Nonmarketable,Domestic Series,null,0,0,7463,IIIA,Public Debt Transactions,21,2024,4,2024,3,07,01
2024-07-01,Redemptions,Nonmarketable,Foreign Series,null,0,0,0,IIIA,Public Debt Transactions,22,2024,4,2024,3,07,01
2024-07-01,Redemptions,Nonmarketable,State and Local Series,null,6314,6314,91751,IIIA,Public Debt Transactions,23,2024,4,2024,3,07,01
2024-07-01,Redemptions,Nonmarketable,Other,null,1578,1578,456117,IIIA,Public Debt Transactions,24,2024,4,2024,3,07,01
2024-07-02,Issues,Marketable,Bills,Regular Series,215576,215569,15324182,IIIA,Public Debt Transactions,1,2024,4,2024,3,07,02
2024-07-02,Issues,Marketable,Bills,Cash Management Series,0,0,2780035,IIIA,Public Debt Transactions,2,2024,4,2024,3,07,02
2024-07-02,Issues,Marketable,Notes,null,-2,189362,2919112,IIIA,Public Debt Transactions,3,2024,4,2024,3,07,02
2024-07-02,Issues,Marketable,Bonds,null,0,13452,359170,IIIA,Public Debt Transactions,4,2024,4,2024,3,07,02
2024-07-02,Issues,Marketable,Inflation-Protected Securities Increment,null,109,906,51803,IIIA,Public Debt Transactions,5,2024,4,2024,3,07,02
2024-07-02,Issues,Marketable,Federal Financing Bank,null,0,0,0,IIIA,Public Debt Transactions,6,2024,4,2024,3,07,02
2024-07-02,Issues,Nonmarketable,United States Savings Securities,Cash Issue Price,7,16,3247,IIIA,Public Debt Transactions,7,2024,4,2024,3,07,02
2024-07-02,Issues,Nonmarketable,United States Savings Securities,Interest Increment,214,507,5844,IIIA,Public Debt Transactions,8,2024,4,2024,3,07,02
2024-07-02,Issues,Nonmarketable,Government Account Series,null,675929,1288824,112430996,IIIA,Public Debt Transactions,9,2024,4,2024,3,07,02
2024-07-02,Issues,Nonmarketable,Domestic Series,null,1,2,237,IIIA,Public Debt Transactions,10,2024,4,2024,3,07,02
