,Simulated,Enhanced_ARIMA,Ensemble
2025-07-03,11525.730080929894,35574.29015999507,23550.01012046248
2025-07-04,-3931.2763652802737,13821.620644863033,4945.17213979138
2025-07-05,18930.063702257467,102461.57704001006,60695.82037113376
2025-07-06,51602.392967762746,48093.57389180726,49847.983429785
2025-07-07,38567.09515233436,40963.95918700963,39765.527169671994
2025-07-08,5162.829165781919,23758.023507292055,14460.426336536988
2025-07-09,28613.50248765927,-26702.553949713572,955.4742689728482
2025-07-10,28591.492457297256,-212478.43769167943,-91943.47261719109
2025-07-11,-8578.237504944876,-104147.9502489455,-56363.09387694519
2025-07-12,14436.434643738608,-24253.80498528121,-4908.685170771301
2025-07-13,-8325.360682723269,-56388.992396385016,-32357.176539554144
2025-07-14,13760.278531608052,-23362.2025144184,-4800.961991405175
2025-07-15,11761.656829303689,-131942.00654019052,-60090.174855443416
2025-07-16,-72399.81651171768,-51180.88303781097,-61790.34977476433
2025-07-17,-75211.31379400683,-2962.455472251955,-39086.88463312939
2025-07-18,-42455.440224239384,-47796.95595764518,-45126.198090942285
2025-07-19,-41594.53250722417,128976.22865055432,43690.848071665074
2025-07-20,-2200.5987735676863,-38609.596926268954,-20405.09784991832
2025-07-21,2555.1416036787778,-90307.9316550266,-43876.395025673904
2025-07-22,-40383.51003040101,-207540.45421240132,-123961.98212140118
2025-07-23,11601.995468197718,17883.420249379626,14742.707858788672
2025-07-24,-5800.366265646164,6781.352467233774,490.4931007938053
2025-07-25,-3058.1815047295786,-80115.17823522683,-41586.67986997821
2025-07-26,-41922.094702084956,-82098.91112311969,-62010.50291260232
2025-07-27,-27619.179360197508,79705.58924158386,26043.204940693176
2025-07-28,24979.018284389917,-114502.55111223487,-44761.76641392248
2025-07-29,-25949.607958859124,-68689.76313025667,-47319.6855445579
2025-07-30,-16209.796198459093,73481.59536853277,28635.899585036837
2025-07-31,-25197.900669767285,41939.58324506674,8370.841287649726
2025-08-01,-24234.337331203347,-9928.745409267287,-17081.541370235318
2025-08-02,-28766.869606105705,50272.94038030064,10753.035387097469
2025-08-03,42241.515359371304,-53348.428611516996,-5553.456626072846
2025-08-04,37504.64946136105,-67510.8318597325,-15003.091199185725
2025-08-05,-24204.4472864679,87952.2817214928,31873.917217512455
2025-08-06,-7272.16233037928,93396.4139035779,43062.12578659931
2025-08-07,-45569.89835760669,-28635.72231468781,-37102.810336147246
2025-08-08,-15583.793809812698,106700.330996522,45558.268593354645
2025-08-09,-66217.36876514164,26162.436334548627,-20027.466215296507
2025-08-10,-62784.867390672305,63507.24391467805,361.18826200287367
2025-08-11,12200.90846777461,-15916.10156554111,-1857.5965488832499
2025-08-12,21174.429302798944,-160969.63311753055,-69897.60190736581
2025-08-13,-12861.006953851036,61940.28315700412,24539.638101576544
2025-08-14,-14653.625496042005,-65838.00506068545,-40245.81527836373
2025-08-15,-21347.154207120395,-13307.430919641043,-17327.292563380717
2025-08-16,-53756.611958349764,-30.637407222243155,-26893.624682786005
2025-08-17,-41105.931293443224,38315.590743047534,-1395.1702751978446
2025-08-18,-684.3947440756765,46299.5245020522,22807.56487898826
2025-08-19,26706.69763048057,-37753.591026126014,-5523.446697822723
2025-08-20,-6120.971392682211,-105020.00237143476,-55570.48688205849
2025-08-21,-61212.52330975747,5647.6715883101315,-27782.42586072367
2025-08-22,-16877.330905637144,-72935.9701245346,-44906.65051508587
2025-08-23,-20169.413220903265,-54753.828923088295,-37461.62107199578
2025-08-24,-29763.295178612538,-74563.6204144628,-52163.45779653767
2025-08-25,34341.68162043176,89247.51657399739,61794.599097214574
2025-08-26,36444.86165584082,28028.933291638656,32236.897473739737
2025-08-27,14131.333068996899,-77504.71764646922,-31686.692288736158
2025-08-28,-27892.59012928376,-10931.069045640792,-19411.829587462275
2025-08-29,-25556.568687032734,171435.65352048003,72939.54241672365
2025-08-30,-1647.4398829793008,34823.19857097148,16587.87934399609
2025-08-31,24525.27462690734,-44369.26311110513,-9921.994242098895
2025-09-01,24884.93503104611,77420.82023053346,51152.87763078978
2025-09-02,4154.441348335269,-11169.098948235405,-3507.328799950068
2025-09-03,-49219.2103470931,-86969.92174771035,-68094.56604740172
2025-09-04,-50999.487371219875,113881.88193617783,31441.197282478977
2025-09-05,7017.315854307257,-30456.793464545546,-11719.738805119145
2025-09-06,44777.17827665574,-101565.80134395687,-28394.31153365057
2025-09-07,13986.12087356379,-47995.66589882634,-17004.772512631273
2025-09-08,65448.94227191195,-7215.974529486136,29116.483871212906
2025-09-09,32464.080479069802,81943.43337896635,57203.756929018076
2025-09-10,-27124.37558701934,11042.745734445822,-8040.81492628676
2025-09-11,1563.373748272792,-85396.41075966059,-41916.5185056939
2025-09-12,44182.1957868235,25436.94045747337,34809.568122148434
2025-09-13,14875.295205135742,22482.183668948255,18678.739437042
2025-09-14,53281.19785114888,10943.816450005514,32112.507150577196
2025-09-15,-29612.351625730327,-81120.47591690707,-55366.4137713187
2025-09-16,17519.656973113324,19830.019742499757,18674.83835780654
2025-09-17,-10015.39318967921,-986.8580688918523,-5501.1256292855305
2025-09-18,-12778.5235828693,24613.786850244338,5917.631633687519
2025-09-19,-2770.3659017497753,15259.90333713284,6244.768717691532
2025-09-20,-56766.69693950185,-10978.849354990585,-33872.77314724622
2025-09-21,-20830.18916341834,8033.760467026117,-6398.214348196112
2025-09-22,35942.50514518717,98937.53018438494,67440.01766478605
2025-09-23,56532.01334914466,-18756.800222211234,18887.606563466714
2025-09-24,-16161.80119417705,55921.4878154166,19879.843310619777
2025-09-25,-29646.50241799183,134037.6251830383,52195.561382523236
2025-09-26,-25332.9080470645,-79145.48741446977,-52239.19773076713
2025-09-27,22073.89518796293,-74879.593940593,-26402.849376315033
2025-09-28,18995.690044182622,24711.518212377123,21853.604128279872
2025-09-29,21737.07884110287,61002.3330270771,41369.70593408999
2025-09-30,23824.23371226499,100875.76349838464,62349.998605324814
2025-10-01,-8196.063412592619,232125.14272610744,111964.5396567574
2025-10-02,24782.51766158017,-83767.70235494195,-29492.592346680893
2025-10-03,-15279.477506612246,15737.313287584915,228.91789048633473
2025-10-04,-11936.599783687876,68798.34920613085,28430.874711221488
2025-10-05,-12834.150065941849,-33459.95543416902,-23147.05275005543
2025-10-06,-15716.855424391488,-136012.1683987403,-75864.51191156589
2025-10-07,5815.838613902454,54576.96534450584,30196.401979204147
2025-10-08,-8762.176691222689,-84166.47971635946,-46464.328203791076
2025-10-09,-3801.17421045496,-16073.694964987126,-9937.434587721043
2025-10-10,-10068.307608255098,8536.596714546797,-765.8554468541506
2025-10-11,-42449.08991757165,-74268.0849851059,-58358.587451338775
2025-10-12,-22828.758622252666,71075.12984376898,24123.18561075816
2025-10-13,14337.881805146322,30792.359306035018,22565.12055559067
2025-10-14,-17558.798624414052,-50945.93953858988,-34252.369081501965
2025-10-15,-28228.709154416618,48799.4179901256,10285.35441785449
2025-10-16,2124.2353450998107,309080.6775039877,155602.45642454375
2025-10-17,54251.64056067469,147344.5615919628,100798.10107631874
2025-10-18,23735.19879234741,47994.02533714875,35864.61206474808
2025-10-19,17027.22869936174,29048.4645256001,23037.84661248092
2025-10-20,34206.62264474724,-36191.50960745019,-992.4434813514745
2025-10-21,-44522.897852848546,85059.99592616921,20268.549036660334
2025-10-22,-32342.81566099932,-108252.79374496537,-70297.80470298235
2025-10-23,-9248.572105606494,-151712.20845850187,-80480.39028205418
2025-10-24,67857.8937540784,64726.93395517164,66292.41385462502
2025-10-25,16996.745265323334,-103688.9178365443,-43346.08628561048
2025-10-26,16303.86333576712,9557.641628094269,12930.752481930695
2025-10-27,35162.07353720371,15293.856583030662,25227.965060117185
2025-10-28,-22115.304690857087,29333.217455854025,3608.956382498469
2025-10-29,8863.916995569329,-28665.57145569639,-9900.82723006353
2025-10-30,23512.47323360391,-17053.067265921356,3229.7029838412764
