,ARIMA,RandomForest,Ensemble
2025-06-27,-1474.4376496445839,-35088.992990037965,-18281.715319841274
2025-06-30,-1998.132025265535,-18429.577450796303,-10213.85473803092
2025-07-01,-4564.736917783919,-27616.60399203202,-16090.67045490797
2025-07-02,-2691.3549435513764,-43893.44689647517,-23292.400920013275
2025-07-03,-3909.0970425730575,-38752.52063739061,-21330.808839981833
2025-07-04,-3127.9412380639214,-36433.859143884125,-19780.900190974022
2025-07-07,-3628.2238160891266,4468.453877073049,420.1150304919611
2025-07-08,-3307.887650618938,-27616.60399203202,-15462.24582132548
2025-07-09,-3512.9971540543024,-43893.44689647517,-23703.22202526474
2025-07-10,-3381.667058866853,-38752.52063739061,-21067.09384812873
2025-07-11,-3465.756713667747,-36433.859143884125,-19949.807928775936
2025-07-14,-3411.914753822664,4468.453877073049,528.2695616251924
2025-07-15,-3446.389346802314,-27616.60399203202,-15531.496669417167
2025-07-16,-3424.315529956224,-43893.44689647517,-23658.881213215696
2025-07-17,-3438.4492251792194,-38752.52063739061,-21095.484931284915
2025-07-18,-3429.3995287879175,-36433.859143884125,-19931.62933633602
2025-07-21,-3435.193979813109,4468.453877073049,516.6299486299699
2025-07-22,-3431.4838373694784,-27616.60399203202,-15524.04391470075
2025-07-23,-3433.859413052521,-43893.44689647517,-23663.653154763848
2025-07-24,-3432.3383502061197,-38752.52063739061,-21092.429493798365
2025-07-25,-3433.3122750527236,-36433.859143884125,-19933.585709468425
2025-07-28,-3432.6886784609874,4468.453877073049,517.8825993060307
2025-07-29,-3433.087962564459,-27616.60399203202,-15524.84597729824
2025-07-30,-3432.8323040227065,-43893.44689647517,-23663.13960024894
2025-07-31,-3432.9960002214852,-42996.90977011408,-23214.952885167782
2025-08-01,-3432.8911868039054,-36819.79234734733,-20126.341767075617
2025-08-04,-3432.9582980293753,4521.977210406381,544.509456188503
2025-08-05,-3432.915327227659,-27563.080658698684,-15497.997992963172
2025-08-06,-3432.942841101638,-43205.76176660504,-23319.35230385334
2025-08-07,-3432.925224179656,-38618.48884085382,-21025.707032516737
2025-08-08,-3432.936504159362,-36819.79234734733,-20126.364425753345
2025-08-11,-3432.9292816750767,4521.977210406381,544.5239643656523
2025-08-12,-3432.933906176238,-27563.080658698684,-15498.00728243746
2025-08-13,-3432.9309451436975,-43205.76176660504,-23319.34635587437
2025-08-14,-3432.9328410700687,-38618.48884085382,-21025.710840961943
2025-08-15,-3432.931627122989,-36819.79234734733,-20126.36198723516
2025-08-18,-3432.9324044039713,4521.977210406381,544.522403001205
2025-08-19,-3432.931906716934,-27563.080658698684,-15498.006282707809
2025-08-20,-3432.932225382118,-43205.76176660504,-23319.34699599358
2025-08-21,-3432.9320213432507,-38618.48884085382,-21025.710431098534
2025-08-22,-3432.9321519877685,-36819.79234734733,-20126.36224966755
2025-08-25,-3432.932068337088,4521.977210406381,544.5225710346467
2025-08-26,-3432.9321218979753,-27563.080658698684,-15498.00639029833
2025-08-27,-3432.9320876033507,-43205.76176660504,-23319.346927104198
2025-08-28,-3432.9321095619352,-38618.48884085382,-21025.710475207878
2025-08-29,-3432.9320955020225,-41845.791640243944,-22639.361867872984
2025-09-01,-3432.9321045044767,-8408.038333274937,-5920.485218889707
2025-09-02,-3432.9320987402743,-31724.929239676032,-17578.93066920815
2025-09-03,-3432.932102431049,-47440.684675695964,-25436.808389063506
2025-09-04,-3432.9321000678747,-44866.44828186845,-24149.690190968162
2025-09-05,-3432.932101580997,-42991.49542472559,-23212.213763153293
2025-09-08,-3432.9321006121563,-8408.038333274937,-5920.485216943547
2025-09-09,-3432.9321012324976,-31724.929239676032,-17578.930670454265
2025-09-10,-3432.932100835298,-47440.684675695964,-25436.808388265632
2025-09-11,-3432.932101089622,-44866.44828186845,-24149.690191479036
2025-09-12,-3432.93210092678,-42991.49542472559,-23212.213762826184
2025-09-15,-3432.9321010310464,-8408.038333274937,-5920.485217152992
