,ARIMA,Seasonal,RandomForest,Ensemble
2025-06-27,,-92166.0,2768.365532810285,-44698.817233594855
2025-06-28,,-102354.0,1648.4992828102843,-50352.75035859486
2025-06-29,,236728.00000000003,-827.5317466014806,117950.23412669927
2025-06-30,,236728.00000000003,29248.804545565545,132988.40227278278
2025-07-01,,-57438.00000000001,-146126.5057142857,-101782.25285714286
2025-07-02,,-57438.00000000001,-15360.786036410918,-36399.39301820546
2025-07-03,,20458.0,-6781.996479383308,6838.001760308346
2025-07-04,,-91794.0,-3623.2528324299033,-47708.62641621495
2025-07-05,,-53801.99999999999,555.6958978365634,-26623.152051081714
2025-07-06,,-53801.99999999999,555.6958978365634,-26623.152051081714
2025-07-07,,-53801.99999999999,30119.836069375066,-11841.081965312464
2025-07-08,,44048.0,-7968.5313787851765,18039.73431060741
2025-07-09,,44048.0,-23246.104671242978,10400.947664378511
2025-07-10,,16274.0,-427.3341021634367,7923.3329489182815
2025-07-11,,-99656.0,1548.1458978365633,-49053.927051081715
2025-07-12,,36356.0,1548.1458978365633,18952.07294891828
2025-07-13,,12194.0,2334.792990743657,7264.396495371829
2025-07-14,,12194.0,30101.80321223221,21147.901606116106
2025-07-15,,120292.00000000001,-6488.666846317646,56901.666576841184
2025-07-16,,120292.00000000001,-19171.820578335883,50560.089710832064
2025-07-17,,121952.0,1255.225646421312,61603.61282321066
2025-07-18,,-112980.0,2387.9656464213126,-55296.01717678934
2025-07-19,,36002.0,2387.9656464213126,19194.982823210656
2025-07-20,,-18124.0,2387.9656464213126,-7868.0171767893435
2025-07-21,,-18124.0,29451.55321223221,5663.7766061161055
2025-07-22,,-5872.0,-5335.722230933029,-5603.861115466514
2025-07-23,,-5872.0,-18784.16655118656,-12328.08327559328
2025-07-24,,94738.0,4694.229979754645,49716.11498987732
2025-07-25,,-104180.0,4284.8761336008,-49947.5619331996
2025-07-26,,1886.0,4284.8761336008,3085.4380668004
2025-07-27,,-5470.0,2053.9655328102863,-1708.0172335948569
2025-07-28,,-5470.0,29294.064545565547,11912.032272782773
2025-07-29,,59875.99999999999,-6158.165870185082,26858.917064907455
2025-07-30,,59875.99999999999,-13422.180220618962,23226.909889690516
2025-07-31,,83680.0,-366.0594919609838,41656.97025401951
2025-08-01,,206317.99999999997,-171989.74,17164.12999999999
2025-08-02,,-275612.0,-11294.13518068201,-143453.067590341
2025-08-03,,-104142.0,-5649.256479383308,-54895.62823969165
2025-08-04,,-104142.0,27967.92010966811,-38087.03994516595
2025-08-05,,40564.0,-8268.939481349278,16147.530259325362
2025-08-06,,40564.0,-10620.251355269476,14971.874322365262
2025-08-07,,42494.0,-1120.9041021634368,20686.54794891828
2025-08-08,,21662.0,359.4158978365636,11010.707948918282
2025-08-09,,28248.0,359.4158978365636,14303.707948918282
2025-08-10,,-15748.0,1249.2658978365632,-7249.367051081718
2025-08-11,,-15748.0,30560.790355089353,7406.395177544677
2025-08-12,,46710.0,-5661.293664499463,20524.35316775027
2025-08-13,,46710.0,-19722.68557833588,13493.65721083206
2025-08-14,,50318.0,2100.757990743656,26209.37899537183
2025-08-15,,-95164.0,101.62564642131193,-47531.187176789346
2025-08-16,,-251667.99999999997,2387.9656464213126,-124640.01717678933
2025-08-17,,20106.0,2387.9656464213126,11246.982823210656
2025-08-18,,20106.0,29313.680355089353,24709.840177544676
2025-08-19,,48385.99999999999,-5335.722230933029,21525.13888453348
2025-08-20,,48385.99999999999,-18909.155962951267,14738.422018524363
2025-08-21,,63793.99999999999,1255.225646421312,32524.612823210653
2025-08-22,,-97010.0,2387.9656464213126,-47311.01717678934
2025-08-23,,28.0,4487.653979754646,2257.826989877323
2025-08-24,,-1998.0,5826.9699797546455,1914.4849898773227
2025-08-25,,-1998.0,29318.101688422685,13660.050844211342
