record_date,transaction_type,transaction_today_amt
2023-01-03,Deposits,384864
2023-01-03,Withdrawals,492827
2023-01-04,Deposits,27156
2023-01-04,Withdrawals,40205
2023-01-05,Deposits,151972
2023-01-05,Withdrawals,152360
2023-01-06,Deposits,28764
2023-01-06,Withdrawals,36783
2023-01-09,Deposits,55807
2023-01-09,Withdrawals,37014
2023-01-10,Deposits,144445
2023-01-10,Withdrawals,170756
2023-01-11,Deposits,43047
2023-01-11,Withdrawals,86338
2023-01-12,Deposits,138547
2023-01-12,Withdrawals,213344
2023-01-13,Deposits,57946
2023-01-13,Withdrawals,35390
2023-01-17,Deposits,406682
2023-01-17,Withdrawals,273265
2023-01-18,Deposits,42262
2023-01-18,Withdrawals,85189
2023-01-19,Deposits,233948
2023-01-19,Withdrawals,143832
2023-01-20,Deposits,44628
2023-01-20,Withdrawals,46746
2023-01-23,Deposits,67039
2023-01-23,Withdrawals,34358
2023-01-24,Deposits,277316
2023-01-24,Withdrawals,158920
2023-01-25,Deposits,63280
2023-01-25,Withdrawals,77810
2023-01-26,Deposits,172289
2023-01-26,Withdrawals,185711
2023-01-27,Deposits,28616
2023-01-27,Withdrawals,30064
2023-01-30,Deposits,53483
2023-01-30,Withdrawals,29598
2023-01-31,Deposits,377483
2023-01-31,Withdrawals,403904
2023-02-01,Deposits,76893
2023-02-01,Withdrawals,208207
2023-02-02,Deposits,145191
2023-02-02,Withdrawals,142198
2023-02-03,Deposits,29174
2023-02-03,Withdrawals,86318
2023-02-06,Deposits,57125
2023-02-06,Withdrawals,32523
2023-02-07,Deposits,186502
2023-02-07,Withdrawals,159902
2023-02-08,Deposits,29191
2023-02-08,Withdrawals,93817
2023-02-09,Deposits,132419
2023-02-09,Withdrawals,142558
2023-02-10,Deposits,24037
2023-02-10,Withdrawals,32294
2023-02-13,Deposits,54839
2023-02-13,Withdrawals,33109
2023-02-14,Deposits,192232
2023-02-14,Withdrawals,173128
2023-02-15,Deposits,175202
2023-02-15,Withdrawals,343374
2023-02-16,Deposits,191288
2023-02-16,Withdrawals,144933
2023-02-17,Deposits,27910
2023-02-17,Withdrawals,34612
2023-02-21,Deposits,243758
2023-02-21,Withdrawals,200332
2023-02-22,Deposits,22229
2023-02-22,Withdrawals,137688
2023-02-23,Deposits,196942
2023-02-23,Withdrawals,320271
2023-02-24,Deposits,46833
2023-02-24,Withdrawals,32857
2023-02-27,Deposits,62118
2023-02-27,Withdrawals,37486
2023-02-28,Deposits,406035
2023-02-28,Withdrawals,394008
2023-03-01,Deposits,87589
2023-03-01,Withdrawals,213707
2023-03-02,Deposits,141500
2023-03-02,Withdrawals,142321
2023-03-03,Deposits,31268
2023-03-03,Withdrawals,87452
2023-03-06,Deposits,65536
2023-03-06,Withdrawals,39511
2023-03-07,Deposits,191808
2023-03-07,Withdrawals,199237
2023-03-08,Deposits,32874
2023-03-08,Withdrawals,98845
2023-03-09,Deposits,126120
2023-03-09,Withdrawals,202120
2023-03-10,Deposits,28098
2023-03-10,Withdrawals,105867
2023-03-13,Deposits,78439
2023-03-13,Withdrawals,40018
2023-03-14,Deposits,265087
2023-03-14,Withdrawals,204095
2023-03-15,Deposits,148898
2023-03-15,Withdrawals,149299
2023-03-16,Deposits,175697
2023-03-16,Withdrawals,152850
2023-03-17,Deposits,29739
2023-03-17,Withdrawals,38769
2023-03-20,Deposits,56438
2023-03-20,Withdrawals,82724
2023-03-21,Deposits,166108
2023-03-21,Withdrawals,229217
2023-03-22,Deposits,42076
2023-03-22,Withdrawals,91649
2023-03-23,Deposits,157542
2023-03-23,Withdrawals,177108
2023-03-24,Deposits,22769
2023-03-24,Withdrawals,33835
2023-03-27,Deposits,57053
2023-03-27,Withdrawals,30013
2023-03-28,Deposits,163818
2023-03-28,Withdrawals,209628
2023-03-29,Deposits,34911
2023-03-29,Withdrawals,42203
2023-03-30,Deposits,167660
2023-03-30,Withdrawals,140217
2023-03-31,Deposits,255110
2023-03-31,Withdrawals,354818
2023-04-03,Deposits,107327
2023-04-03,Withdrawals,115016
2023-04-04,Deposits,171109
2023-04-04,Withdrawals,214053
2023-04-05,Deposits,40184
2023-04-05,Withdrawals,39628
2023-04-06,Deposits,140330
2023-04-06,Withdrawals,172984
2023-04-07,Deposits,29026
2023-04-07,Withdrawals,33296
2023-04-10,Deposits,61005
2023-04-10,Withdrawals,32663
2023-04-11,Deposits,178591
2023-04-11,Withdrawals,200994
2023-04-12,Deposits,55844
2023-04-12,Withdrawals,97678
2023-04-13,Deposits,168322
2023-04-13,Withdrawals,144418
2023-04-14,Deposits,114042
2023-04-14,Withdrawals,43247
2023-04-17,Deposits,252710
2023-04-17,Withdrawals,188113
2023-04-18,Deposits,415172
2023-04-18,Withdrawals,190192
2023-04-19,Deposits,117852
2023-04-19,Withdrawals,93217
2023-04-20,Deposits,222263
2023-04-20,Withdrawals,189730
2023-04-21,Deposits,45625
2023-04-21,Withdrawals,43578
