record_date,transaction_type,transaction_today_amt
2023-08-10,Deposits,247816
2023-08-10,Withdrawals,240670
2023-08-11,Deposits,25998
2023-08-11,Withdrawals,23352
2023-08-14,Deposits,51386
2023-08-14,Withdrawals,27803
2023-08-15,Deposits,356942
2023-08-15,Withdrawals,485231
2023-08-16,Deposits,52607
2023-08-16,Withdrawals,80168
2023-08-17,Deposits,218908
2023-08-17,Withdrawals,203130
2023-08-18,Deposits,27305
2023-08-18,Withdrawals,34954
2023-08-21,Deposits,53942
2023-08-21,Withdrawals,32606
2023-08-22,Deposits,225717
2023-08-22,Withdrawals,207273
2023-08-23,Deposits,28993
2023-08-23,Withdrawals,79172
2023-08-24,Deposits,211999
2023-08-24,Withdrawals,199084
2023-08-25,Deposits,47093
2023-08-25,Withdrawals,26266
2023-08-28,Deposits,51516
2023-08-28,Withdrawals,30088
2023-08-29,Deposits,223438
2023-08-29,Withdrawals,199861
2023-08-30,Deposits,31959
2023-08-30,Withdrawals,30097
2023-08-31,Deposits,389537
2023-08-31,Withdrawals,363164
2023-09-01,Deposits,66002
2023-09-01,Withdrawals,256835
2023-09-05,Deposits,263990
2023-09-05,Withdrawals,210530
2023-09-06,Deposits,22440
2023-09-06,Withdrawals,35698
2023-09-07,Deposits,271895
2023-09-07,Withdrawals,243099
2023-09-08,Deposits,27312
2023-09-08,Withdrawals,27070
2023-09-11,Deposits,61195
2023-09-11,Withdrawals,29120
2023-09-12,Deposits,232617
2023-09-12,Withdrawals,210853
2023-09-13,Deposits,65331
2023-09-13,Withdrawals,92513
2023-09-14,Deposits,272172
2023-09-14,Withdrawals,203660
2023-09-15,Deposits,257765
2023-09-15,Withdrawals,203433
2023-09-18,Deposits,94847
2023-09-18,Withdrawals,32054
2023-09-19,Deposits,223623
2023-09-19,Withdrawals,219523
2023-09-20,Deposits,57581
2023-09-20,Withdrawals,84069
2023-09-21,Deposits,233249
2023-09-21,Withdrawals,211312
2023-09-22,Deposits,34961
2023-09-22,Withdrawals,51645
2023-09-25,Deposits,64004
2023-09-25,Withdrawals,32236
2023-09-26,Deposits,228337
2023-09-26,Withdrawals,221472
2023-09-27,Deposits,33430
2023-09-27,Withdrawals,90900
2023-09-28,Deposits,213033
2023-09-28,Withdrawals,221515
2023-09-29,Deposits,111890
2023-09-29,Withdrawals,184125
2023-10-02,Deposits,199674
2023-10-02,Withdrawals,178627
2023-10-03,Deposits,225435
2023-10-03,Withdrawals,228045
2023-10-04,Deposits,19912
2023-10-04,Withdrawals,16279
2023-10-05,Deposits,263617
2023-10-05,Withdrawals,242391
2023-10-06,Deposits,16049
2023-10-06,Withdrawals,14500
2023-10-10,Deposits,255805
2023-10-10,Withdrawals,213548
2023-10-11,Deposits,16672
2023-10-11,Withdrawals,47668
2023-10-12,Deposits,239935
2023-10-12,Withdrawals,255924
2023-10-13,Deposits,30423
2023-10-13,Withdrawals,24916
2023-10-16,Deposits,188042
2023-10-16,Withdrawals,74584
2023-10-17,Deposits,256208
