,ARIMA,Seasonal,RandomForest,Ensemble
2025-08-08,,2709.5,6602.352515776746,4655.926257888374
2025-08-09,,3530.4999999999995,6602.352515776746,5066.426257888373
2025-08-10,,-1968.0,6602.352515776746,2317.176257888373
2025-08-11,,-1968.0,22772.39027916906,10402.19513958453
2025-08-12,,5839.5,21576.491818887902,13707.995909443951
2025-08-13,,5839.5,3302.553310119481,4571.026655059741
2025-08-14,,6290.0,6878.10184911008,6584.05092455504
2025-08-15,,-11896.0,6271.419182443414,-2812.290408778293
2025-08-16,,-31460.000000000004,6362.799182443414,-12548.600408778295
2025-08-17,,2513.0,6362.799182443414,4437.899591221707
2025-08-18,,2513.0,23343.385834724613,12928.192917362307
2025-08-19,,6048.5,19444.3562091318,12746.4281045659
2025-08-20,,6048.5,793.3192388249225,3420.9096194124613
2025-08-21,,7975.0,4516.927777815522,6245.963888907761
2025-08-22,,-12126.0,4045.9184444821894,-4040.0407777589053
2025-08-23,,4.0,5843.24177781552,2923.62088890776
2025-08-24,,-250.0,6561.061777815521,3155.5308889077605
2025-08-25,,-250.0,23059.443612502393,11404.721806251197
2025-08-26,,2992.0,21150.89954246514,12071.44977123257
2025-08-27,,2992.0,4336.686620110304,3664.343310055152
2025-08-28,,23005.5,10509.081897196138,16757.29094859807
2025-08-29,,-14575.0,12271.117730911441,-1151.9411345442795
2025-08-30,,-1300.5,12485.84852196436,5592.67426098218
2025-08-31,,-22485.5,23591.418757029212,552.9593785146062
2025-09-01,,-22485.5,14189.293160238796,-4148.103419880602
2025-09-02,,32313.5,21901.442488366993,27107.471244183496
2025-09-03,,32313.5,4627.097802398709,18470.298901199356
2025-09-04,,32313.5,6427.00184911008,19370.25092455504
2025-09-05,,-1543.0000000000002,6567.392515776746,2512.196257888373
2025-09-06,,-964.5,6567.392515776746,2801.446257888373
